track_PixelHits,track_SCTHits,track_PixeldEdX,track_TRTHits,lepton_FVariable,lepton_EMCal,lepton_lambda,lepton_lambda2,lepton_time,lepton_radius,truth_particle_tag,predicted_prob,predicted_label
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,0.79115707,0.0007209778,1160.0,356352.0,-0.072864205,8064.0,1,0.9256392,1
True,False,1.3331357e-37,True,0.7836017,0.0006980896,3056.0,98816.0,1.7780936,104960.0,0,0.94038814,1
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,0.49865687,0.0009994507,1648.0,100352.0,-1.6634111,417792.0,1,0.98394036,1
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,0.7930389,0.00029945374,1192.0,220160.0,-0.14702637,382976.0,1,0.96818686,1
True,False,1.3331357e-37,True,1.012398,0.000207901,1360.0,150528.0,-1.9707981,51456.0,1,0.89064884,1
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,0.29340446,0.60546875,112.5,7712.0,0.0,1680.0,1,0.8213513,1
True,False,1.3331357e-37,True,1.0471145,0.0017471313,1264.0,307200.0,1.7004142,83456.0,1,0.87786174,1
True,False,1.3331357e-37,True,1.626816,0.0011978149,1648.0,958464.0,-1.1214494,34304.0,1,0.9122202,1
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.8412969,1
True,False,1.3331357e-37,True,1.0060372,0.00078964233,1680.0,421888.0,-2.564784,54272.0,1,0.9025938,1
